,ZONE,year,value,ProjectID
239,2217,2031,781.54,1113.3.3
240,3206,2031,853.3333333333331,1113.3.3
241,1016,2032,55.15,1113.3.3
242,3201,2032,70.73,1113.3.3
243,1013,2032,118.84,1113.3.3
244,2365,2032,423.49,1113.3.3
245,2363,2032,478.59000000000003,1113.3.3
246,2217,2032,781.54,1113.3.3
247,3206,2032,959.9999999999998,1113.3.3
248,990,2024,9546.2,6033.0
249,2429,2024,15386.75,6033.0
250,2657,2024,586.8857142857142,1086.3
251,2657,2025,1173.7714285714285,1086.3
252,2657,2026,1760.6571428571428,1086.3
253,2657,2027,2347.542857142857,1086.3
254,2657,2028,2934.428571428571,1086.3
255,2657,2029,3521.3142857142852,1086.3
256,2657,2030,4101.6,1086.3
257,3409,2027,6174.0,26626.0
258,3419,2027,16233.0,26626.0
259,3409,2028,6174.0,26626.0
260,3419,2028,16233.0,26626.0
261,3409,2029,6174.0,26626.0
262,3419,2029,16233.0,26626.0
263,3409,2030,6174.0,26626.0
264,3419,2030,16233.0,26626.0
265,3409,2031,6174.0,26626.0
266,3419,2031,16233.0,26626.0
267,3409,2032,6174.0,26626.0
268,3419,2032,16233.0,26626.0
269,3409,2033,6174.0,26626.0
270,3419,2033,16233.0,26626.0
271,3409,2034,6174.0,26626.0
272,3419,2034,16233.0,26626.0
273,3409,2035,6174.0,26626.0
274,3419,2035,16233.0,26626.0
275,3409,2036,6174.0,26626.0
276,3419,2036,16233.0,26626.0
277,3409,2037,6174.0,26626.0
278,3419,2037,16233.0,26626.0
279,3409,2038,6174.0,26626.0
280,3419,2038,16233.0,26626.0
281,3409,2039,6174.0,26626.0
282,3419,2039,16233.0,26626.0
283,3409,2040,6174.0,26626.0
284,3419,2040,16233.0,26626.0
285,2847,2027,7483.3,25983.0
286,2967,2027,11400.0,25983.0
287,2847,2028,7483.3,25983.0
288,2967,2028,22800.0,25983.0
289,2847,2029,7483.3,25983.0
290,2967,2029,34200.0,25983.0
291,2847,2030,7483.3,25983.0
292,2967,2030,45600.0,25983.0
293,2847,2031,7483.3,25983.0
294,2967,2031,57000.0,25983.0
295,2847,2032,7483.3,25983.0
296,2967,2032,68400.0,25983.0
297,2847,2033,7483.3,25983.0
298,2967,2033,79800.0,25983.0
299,2847,2034,7483.3,25983.0
300,2967,2034,91200.0,25983.0
301,2847,2035,7483.3,25983.0
302,2967,2035,102600.0,25983.0
303,2847,2036,7483.3,25983.0
304,2967,2036,114000.0,25983.0
305,2847,2037,7483.3,25983.0
306,2967,2037,118387.3,25983.0
307,2853,2037,125400.0,25983.0
308,2847,2038,7483.3,25983.0
309,2967,2038,118387.3,25983.0
310,2853,2038,136800.0,25983.0
311,2847,2039,7483.3,25983.0
312,2967,2039,118387.3,25983.0
313,2853,2039,148200.0,25983.0
314,2847,2040,7483.3,25983.0
315,2967,2040,118387.3,25983.0
316,2853,2040,159600.0,25983.0
317,3372,2027,14875.699999999999,5000.34
318,3355,2027,34404.0,5000.34
319,3396,2027,49525.1,5000.34
320,2006,2027,75407.6,5000.34
321,3356,2027,142862.48571428572,5000.34
322,3372,2028,14875.699999999999,5000.34
323,3355,2028,34404.0,5000.34
324,3396,2028,49525.1,5000.34
325,2006,2028,75407.6,5000.34
326,3356,2028,222202.1,5000.34
327,1998,2028,285724.97142857144,5000.34
328,3372,2029,14875.699999999999,5000.34
329,3355,2029,34404.0,5000.34
330,3396,2029,49525.1,5000.34
331,2006,2029,75407.6,5000.34
332,3356,2029,222202.1,5000.34
333,1998,2029,383552.6,5000.34
334,3376,2029,428587.45714285714,5000.34
335,3372,2030,14875.699999999999,5000.34
336,3355,2030,34404.0,5000.34
337,3396,2030,49525.1,5000.34
338,2006,2030,75407.6,5000.34
339,3356,2030,222202.1,5000.34
340,1998,2030,383552.6,5000.34
341,3376,2030,571449.9428571429,5000.34
342,3372,2031,14875.699999999999,5000.34
343,3355,2031,34404.0,5000.34
344,3396,2031,49525.1,5000.34
345,2006,2031,75407.6,5000.34
346,3356,2031,222202.1,5000.34
347,1998,2031,383552.6,5000.34
348,3376,2031,573533.6,5000.34
349,3350,2031,714312.4285714286,5000.34
350,3372,2032,14875.699999999999,5000.34
351,3355,2032,34404.0,5000.34
352,3396,2032,49525.1,5000.34
353,2006,2032,75407.6,5000.34
354,3356,2032,222202.1,5000.34
355,1998,2032,383552.6,5000.34
356,3376,2032,573533.6,5000.34
357,3350,2032,857174.9142857144,5000.34
358,3372,2033,14875.699999999999,5000.34
359,3355,2033,34404.0,5000.34
360,3396,2033,49525.1,5000.34
361,2006,2033,75407.6,5000.34
362,3356,2033,222202.1,5000.34
363,1998,2033,383552.6,5000.34
364,3376,2033,573533.6,5000.34
365,3350,2033,925864.6,5000.34
366,3348,2033,1000037.4000000001,5000.34
367,3372,2034,14875.699999999999,5000.34
368,3355,2034,34404.0,5000.34
369,3396,2034,49525.1,5000.34
370,2006,2034,75407.6,5000.34
371,3356,2034,222202.1,5000.34
372,1998,2034,383552.6,5000.34
373,3376,2034,573533.6,5000.34
374,3350,2034,925864.6,5000.34
375,3348,2034,1142899.8857142858,5000.34
376,3372,2035,14875.699999999999,5000.34
377,3355,2035,34404.0,5000.34
378,3396,2035,49525.1,5000.34
379,2006,2035,75407.6,5000.34
380,3356,2035,222202.1,5000.34
381,1998,2035,383552.6,5000.34
382,3376,2035,573533.6,5000.34
383,3350,2035,925864.6,5000.34
384,3348,2035,1242213.6,5000.34
385,1993,2035,1285762.3714285714,5000.34
386,3372,2036,14875.699999999999,5000.34
387,3355,2036,34404.0,5000.34
388,3396,2036,49525.1,5000.34
389,2006,2036,75407.6,5000.34
390,3356,2036,222202.1,5000.34
391,1998,2036,383552.6,5000.34
392,3376,2036,573533.6,5000.34
393,3350,2036,925864.6,5000.34
394,3348,2036,1242213.6,5000.34
395,1993,2036,1428624.857142857,5000.34
396,3372,2037,14875.699999999999,5000.34
397,3355,2037,34404.0,5000.34
398,3396,2037,49525.1,5000.34
399,2006,2037,75407.6,5000.34
400,3356,2037,222202.1,5000.34
401,1998,2037,383552.6,5000.34
402,3376,2037,573533.6,5000.34
403,3350,2037,925864.6,5000.34
404,3348,2037,1242213.6,5000.34
405,1993,2037,1571487.3428571427,5000.34
406,3372,2038,14875.699999999999,5000.34
407,3355,2038,34404.0,5000.34
408,3396,2038,49525.1,5000.34
409,2006,2038,75407.6,5000.34
410,3356,2038,222202.1,5000.34
411,1998,2038,383552.6,5000.34
412,3376,2038,573533.6,5000.34
413,3350,2038,925864.6,5000.34
414,3348,2038,1242213.6,5000.34
415,1993,2038,1648254.6,5000.34
416,1996,2038,1714349.8285714283,5000.34
417,3372,2039,14875.699999999999,5000.34
418,3355,2039,34404.0,5000.34
419,3396,2039,49525.1,5000.34
420,2006,2039,75407.6,5000.34
421,3356,2039,222202.1,5000.34
422,1998,2039,383552.6,5000.34
423,3376,2039,573533.6,5000.34
424,3350,2039,925864.6,5000.34
