Z,,Master plan,PRODSECTOR,AREATYPE,AREATYPE2,UPC_PRECIN,PRECINCT_,HH,POP_NONLAB,WORKER,STUDENT,LABOURER,POP_TOT,HOTELROOMS,RES_GFA,RETAIL_GFA,OFFICE_GFA,L_IND_GFA,M_IND_GFA,H_IND_GFA,SCHOOL_GFA,MED_GFA,OTHER_GFA,CONS_SITE,RETGEN_PRO,RETMAL_PRO,MEDCLI_PRO,MEDHOS_PRO,NONTER_PRO,TER_PRO,SCHPLCS_NT,SCHPLCS_TE,SCHPLCS_PR,SCHPLCS_SE,SECT_DST,SECT_FRT,SECT_EXT,SECT_REP,SECT_REPMS,METRO_AREA,SHAPEAREA,CENTROIDX,CENTROIDY,PARK_SEC,URBAN_RURA,LAB_CON_P,LAB_OTH_P,LAB_IND_P,IND_AREA,PROP_INT_L,PROP_INT_W,PROP_INT_O,SECT_BAL,SECT_INT,REG,TOD_A,TOD_P,HGV_PERMIT,ADSICDIST,DISTNAME,TMP,UDM_DIST,MP_ProjectID
25,ADM,MP,2,1,11,28,Saadiyat Island,199,610,336,244,0,610,0,27220,1684,4005,0,0,0,0,0,3428,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,239749,2714584,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_ NYU_Precinct,AL SAADIYAT ISLAND,1007.27
26,ADM,MP,2,2,11,28,Saadiyat Island,281,826,454,206,0,826,53,78220,396,0,0,0,0,0,0,1544,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,241645,2717566,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,MIP Study - Saadiyat QAH,AL SAADIYAT ISLAND,1007.45
27,ADM,MP,2,1,11,28,Saadiyat Island,1001,3062,1684,1225,0,3062,0,136600,5898,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,239650,2714313,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_ NYU_Precinct,AL SAADIYAT ISLAND,1007.27
28,ADM,MP,2,3,11,28,Saadiyat Island,120,600,360,132,0,600,0,26426,0,7285,0,0,0,0,0,7035,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,239842,2713704,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
29,ADM,MP,2,1,11,28,Saadiyat Island,427,2196,1318,483,0,2196,0,96134,6353,21565,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,239547,2714454,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
30,ADM,MP,2,1,11,28,Saadiyat Island,650,2700,1620,594,0,2700,0,122554,19767,19524,0,0,0,0,0,809,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,239324,2714600,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
31,ADM,MP,2,1,11,28,Saadiyat Island,602,3010,1806,662,0,3010,0,135870,0,0,0,0,0,13715,0,0,0,100,0,100,0,100,0,1720,0,757,963,2,1,0,4,1,1,0,239357,2714935,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
32,ADM,MP,2,1,11,28,Saadiyat Island,750,3600,2160,792,0,3600,0,161054,7264,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,239333,2714790,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
33,ADM,MP,2,1,11,28,Saadiyat Island,550,2600,1560,572,0,2600,0,116840,2827,9427,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,239208,2714380,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
34,ADM,MP,2,1,11,28,Saadiyat Island,400,2000,1200,440,0,2000,250,88110,3674,9021,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,239316,2714296,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
