Municipality,ProjectID,Include in Summary,Project Name,DistrictID,District,Regional_Subregional Centre_District,District Centre,Centre or Non Centre,Approved,Approval Year,Approved Completion Year,Notes,EH,Phasing_Note,Planning Status,Delivery Status,Status,Major,Total GFA,Residential Population,Residential (GFA),Residential % Committed,Residential - Villas Emiratis (Units),Residential - Villas Emiratis % Committed,Residential - Villas Non-Emiratis (Units),Residential - Villas Non-Emiratis % Committed,Residential - Apartments (Units),Residential - Apartments % Committed,Residential - Labour Accommodation (Units),Residential - Labour Accommodation % Committed,Retail (GFA),Retail % Committed,Office (GFA),Office % Committed,Industrial (GFA),Industrial % Committed,Hotel (GFA),Hotel % Committed,Community Facilities (GFA),Community Facilities % Committed,Healthcare (GFA),Healthcare % Committed,Education (GFA),Education % Committed,Other (GFA),Other % Committed,Demolish Existing Buildings or Not (Yes/No),2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Abu Dhabi,1001.15,Yes,Masdar Phase 5,26,KHALIFA CITY,KHALIFA CITY,Airport,Centre,Yes,2021,2025,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 338,002 "," 5,996 "," 18,050 ", 1 ,0,0,0,0,0,100%,0,0%,0,100%,0,100%,0,0%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1920.0,Yes,Umm Lefeenah,1342,UM YIFEENAH ISLAND,UM YIFEENAH ISLAND,0,NonCentre,No,NA,NA,Modon has not shared info yet,0,Not Approved / Lapsed,Future-Likely,Future-Likely,Committed,Yes, NA , NA ," 285,430 ", 1 ,0,0,0,0,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,23037.1,No,Bloom District Phase 1,400,ZAYED CITY,ZAYED CITY,0,NonCentre,Yes,2022,2024,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 257,820 "," 4,037 "," 59,082 ", 1 ,0,0,0,1,150,100%,0,0%,"52,300",100%,0,100%,0,100%,"2,000",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,GHANADHAH_2,Yes,GHANADHAH_2,1020,GHANADHAH,GHANADHAH,0,NonCentre,No,NA,NA,0,0,Not Approved / Lapsed,Future,Future,Future,No,,," 110,050 ", 1 ,0,0,"2,837",1,"88,330",45%,0,0%,"746,135",55%,"4,292,534",30%,0,37%,"715,200",100%,?,?,"653,069",40%,"2,612,275",40%,0,40%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1007.42.1,Yes,Lagoons phase 1,1347,AL SAADIYAT ISLAND,AL SAADIYAT ISLAND,0,NonCentre,Yes,2021,2025,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 184,299 "," 2,033 "," 107,741 ", 1 ,0,0,321,1,111,100%,0,0%,"47,439",100%,0,100%,0,100%,"20,700",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1007.27,Yes,Marina District - NYU Precinct,1347,AL SAADIYAT ISLAND,AL SAADIYAT ISLAND,Saadiyat Island,Centre,Yes,2023,2022,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 1,031,569 "," 15,691 "," 17,000 ", 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,22345.0,Yes,Al Reeman 2,1280,AL SHAMKHAH,AL SHAMKHAH,0,NonCentre,Yes,2021,2020,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 1,027,605 "," 11,513 "," 221,551 ", 1 ,0,0,0,1,0,100%,0,0%,0,100%,"40,360",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,6029.0,Yes,Al Mafraq Health Community Master Plan,5,SHAKHBOUT CITY,SHAKHBOUT CITY,0,NonCentre,Yes,2014,NA,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 1,007,765 ", -   ," 54,064 ", 1 ,0,0,0,1,0,100%,0,0%,"2,500",100%,0,100%,0,100%,"31,300",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1610.0,No,Mussaffah Labour Camp,19,ABU DHABI INDUSTRIAL CITY,ABU DHABI INDUSTRIAL CITY,0,NonCentre,Yes,2009,2010,0,0,Partially Delivered,Planned,Pipeline,Committed,0," 95,622 ", -   ," 49,644 ", 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,"259,461",100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,2100.0,Yes,Zayed City MP (DMT),400,ZAYED CITY,ZAYED CITY,Zayed City,Centre,Yes,NA,NA,National Housing + Commercial / InvestmentPlots,Yes,Partially Delivered,Committed,Pipeline,Committed,0," 30,582,161 "," 331,302 "," 60,898 ", 1 ,"1,420",1,0,0,0,100%,0,0%,"41,666",100%,0,100%,0,100%,0,100%,?,?,"11,547",100%,"46,186",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Ras Al Sader_142,Yes,Ras Al Sader 142 plots,1324,AL SHELAYLAH ISLAND,AL SHELAYLAH ISLAND,0,NonCentre,No,NA,TBD,Future project - Pre-concept planning estimated #s,Yes,Not Approved / Lapsed,Future,Future,Future,EH, TBD , 994 ," 25,000 ", 1 ,454,1,0,0,"14,701",90%,0,0%,"37,120",90%,"78,397",100%,0,100%,"55,000",300%,?,?,0,90%,0,90%,0,90%,,,,,,,,,,,,,,,,,,
Abu Dhabi,18312.0,Yes,Al Samaliyyah Island,1322,AL SAMMALIYYAH ISLAND,AL SAMMALIYYAH ISLAND,0,NonCentre,No,NA,2025,0,0,Not Approved / Lapsed,Future,Future,Future,Yes, NA , NA+A1:U16 ," 275,000 ", 1 ,0,0,0,1,0,100%,0,0%,"21,200",100%,0,100%,0,100%,"24,000",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,ICAD 1,Yes,ICAD 1,19,ABU DHABI INDUSTRIAL CITY,ABU DHABI INDUSTRIAL CITY,Musaffah,Centre,Yes,,NA,GFA provided by AD Ports,0,Partially Delivered,Planned,Pipeline,Committed,0," 6,587,534 ", -   ," 74,519 ", 1 ,0,0,0,1,0,100%,0,0%,"33,100",100%,"37,000",100%,0,100%,"40,065",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,21227.0,Yes,Bawabat Al Sharq Development_2,1329,BANI YAS,BANI YAS,Bani Yas,Centre,No,2023,2025,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 692,191 "," 8,377 "," 39,959 ", 1 ,0,0,860,1,0,100%,0,0%,"3,000",100%,700,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,35581.0,Yes,Al Samha 242 Villas,1327,AL SAMHAH,AL SAMHAH,0,NonCentre,Yes,2023,2025,National Housing,Yes,Approved but Not Delivered,Committed,Pipeline,Committed,0," 126,157 "," 1,839 "," 111,960 ", 1 ,856,1,0,0,"6,860",100%,0,0%,"127,248",0%,"284,078",0%,"5,700",0%,"206,686",0%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1739.0,No,"Emirates Stallions (C59, C60, C63, C64)",1303,AL ZAHIYAH,AL ZAHIYAH,0,NonCentre,Yes,2016,NA,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 164,000 ",," 36,864 ", 1 ,0,0,0,0,424,0%,0,0%,"23,509",0%,"76,560",30%,0,100%,"21,444",0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Al Shahamah II_1,Yes,Al Shahamah II_1,,,,0,NonCentre,,,0,National Housing,Yes,Future,Future,Future,0,BH,,," 119,350 ", 1 ,0,1,0,0,0,100%,0,0%,"5,644",0%,"8,467",0%,"6,031,803",51%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1170.0,Yes,Al Maryah IWMP,74,AL MARYAH ISLAND,AL MARYAH ISLAND,Downtown,Centre,Yes,2012,NA,0,0,Partially Delivered,Planned,Pipeline,Committed,0," 3,520,000 "," 30,780 "," 43,575 ", 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1317.0,Yes,Desert Towers- Mohd Bin Zayed,48,MOHAMED BIN ZAYED CITY,MOHAMED BIN ZAYED CITY,0,NonCentre,Yes,2008,NA,0,0,Approved but Not Delivered,Planned,Pipeline,Committed,0," 366,033 "," 6,846 "," 49,208 ", 1 ,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,5686.0,Yes,ADNOC New Medical Center,1300,AL BATEEN,AL BATEEN,0,NonCentre,Yes,2015,Completed,0,0,Completed,Completed,Completed,Committed,0," 28,184 ", NA ," 39,427 ", 1 ,0,0,0,1,"8,758",50%,0,0%,"120,048",100%,"100,000",0%,"179,085",100%,"215,295",40%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.16,Yes,"Zone HB, Office Park",1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,NA,NA,"IWFP estimate, Not Approved",0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 31,000 ", -   ," 170,570 ", 1 ,0,0,0,1,0,100%,0,0%,230,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,17158.1,No,Qasr Al Jurf Amended CMP,1306,GHADEER AL TAYR,GHADEER AL TAYR,0,NonCentre,Yes,NA,NA,0,0,Approved but Not Delivered,Planned,Pipeline,Committed,0, -   ," 8,738 "," 82,321 ", 1 ,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1169.0,Yes,Deerfield Town Square (Al Bahya AD),1279,AL BAHYAH,AL BAHYAH,0,NonCentre,Yes,2009,Completed,0,0,Completed,Completed,Completed,Committed,0," 123,931 ", NA ," 146,593 ", 1 ,0,0,0,1,764,100%,0,0%,0,100%,"3,941",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1997.1,Yes,Rahayel Block 7,19,ABU DHABI INDUSTRIAL CITY,ABU DHABI INDUSTRIAL CITY,0,NonCentre,Yes,2021,2025,0,0,Approved but Not Delivered,Planned,Pipeline,Committed,0," 214,756 "," 1,038 "," 120,002 ", 1 ,0,0,0,1,0,100%,0,0%,"123,931",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,18495.1,Yes,Hudayriat Island PDA,1315,AL HIDAYRIYYAT,AL HIDAYRIYYAT,0,NonCentre,Yes,2023,2031,Priority Development Area DMP,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 3,202,339 "," 51,121 "," 160,850 ", 1 ,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,100%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Samha New Housing - Ph 2,Yes,Samha New Housing - Ph 2 - muwhaylih,1281,KHALIFA INDUSTRIAL,KHALIFA INDUSTRIAL,0,NonCentre,No,NA,NA,National Housing,Yes,Not Approved / Lapsed,Future,Future,Future,EH,,," 57,766 ", 1 ,0,0,0,0,"5,526",0%,0,0%,"67,595",0%,"1,058,344",0%,"7,908,330",13%,0,100%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.3.1,Yes,"Zone YS-02, The Club",1330,YAS ISLAND,YAS ISLAND,Yas Island,Centre,Yes,2012,Completed,0,0,Completed,Completed,Completed,Committed,0," 3,000 ", -   ," 56,138 ", 1 ,0,0,"26,755",1,"18,042",50%,0,0%,"396,097",100%,"716,060",10%,"1,218,078",15%,"47,608",100%,?,?,"560,330",50%,"2,241,319",50%,0,50%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.8.2,No,Warner Brothers Themepark,1330,YAS ISLAND,YAS ISLAND,Yas Island,Centre,Yes,2015,Completed,0,0,Completed,Completed,Completed,Committed,0," 114,603 ", -   ," 24,000 ", 1 ,0,0,0,1,994,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,21257.0,Yes,Hindu Temple,1311,ABU MREIKHAH,ABU MREIKHAH,0,NonCentre,Yes,2023,2030,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 46,395 ", 70 ," 1,260,847 ", 1 ,0,0,0,1,116,100%,0,0%,"2,883",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,5619.0,Yes,Khalifa University Extension,1302,HADBAT AL ZA'FARANAH,HADBAT AL ZA'FARANAH,0,NonCentre,Yes,2016,Completed,0,0,Completed,Completed,Completed,Committed,0," 101,500 ", NA ," 84,196 ", 1 ,0,0,913,1,615,60%,0,0%,"13,053",60%,0,60%,0,100%,0,60%,?,?,0,60%,0,60%,0,60%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.13,Yes,"Zone SM Plot 5,Mayan Phase 2",1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2016,2025,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 39,528 ", 906 ," 182,241 ", 1 ,0,0,NA,1,NA,100%,0,0%,"613,325",100%,"421,064",100%,"51,562",100%,"651,215",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,36681.0,Yes,MZ AD Ports Masterplan,1288,ZAYED PORT,ZAYED PORT,Downtown,Centre,No,NA,NA,0,0,Not Approved / Lapsed,Future,Future,Future,No," 997,322 ", -   ," 148,266 ", 1 ,0,0,0,1,0,0%,0,0%,0,0%,0,0%,0,0%,"33,500",0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,23037.2.1,No,Bloom District -Phase 3,400,ZAYED CITY,ZAYED CITY,0,NonCentre,Yes,2023,2027,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 167,615 "," 4,755 "," 131,001 ", 1 ,0,0,170,1,0,100%,0,0%,0,100%,0,100%,0,0%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.27,Yes,"Zone RA, Yas Staff Housing ALDAR",1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2023,2023,0,0,Partially Delivered,Completed,Completed,Committed,0," 87,106 "," 3,681 "," 134,618 ", 1 ,0,0,0,1,"1,083",100%,0,0%,"12,086",100%,"45,462",100%,0,100%,"26,892",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1251.6,Yes,Marina walk - Marina Promenade Phase 1,1296,AL KASIR,AL KASIR,Palaces,Centre,Yes,2018,2020,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 20,933 ", -   ," 769,357 ", 1 ,0,0,0,0,0,50%,0,0%,"80,000",30%,"400,000",25%,"50,000",100%,"30,000",100%,?,?,0,50%,0,50%,0,50%,,,,,,,,,,,,,,,,,,
Abu Dhabi,32592.0,Yes,Nawras Island,1312,AL HALAH ISLAND,AL HALAH ISLAND,0,NonCentre,Yes,2023,NA,0,0,Approved but Not Delivered,Planned,Pipeline,Committed,0," 28,091 ", 112 ," 83,708 ", 1 ,0,0,912,1,0,100%,0,0%,"4,365",100%,"2,900",100%,0,100%,"17,290",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,33416.0,Yes,Ba Al Ghailam,1279,AL BAHYAH,AL BAHYAH,0,NonCentre,Yes,2023,2025,National Housing,Yes,Approved but Not Delivered,Committed,Pipeline,Committed,0," 1,423,049 "," 19,593 "," 71,421 ", 1 ,0,1,0,0,0,100%,0,0%,"65,100",50%,"273,679",25%,"149,336",100%,"18,000",400%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,11220.0,Yes,Deerfields Town Square Residential,1279,AL BAHYAH,AL BAHYAH,0,NonCentre,Yes,2023,NA,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 43,006 ", 642 ," 18,997 ", 1 ,0,0,"2,483",1,363,100%,0,0%,"19,100",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,5251.1,No,Ramhan Island development Phase 1,34,RAMHAN ISLAND,RAMHAN ISLAND,0,NonCentre,Yes,2023,2025,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 180,783 "," 2,079 "," 75,858 ", 1 ,0,0,"1,011",1,"3,252",60%,0,0%,"52,672",60%,0,60%,0,60%,0,60%,?,?,0,60%,0,60%,0,60%,,,,,,,,,,,,,,,,,,
Abu Dhabi,12805.0,Yes,Al Samha Emirati Housing,1327,AL SAMHAH,AL SAMHAH,0,NonCentre,Yes,2016,Completed,Emirati Housing MP,Yes,Completed,Completed,Completed,Committed,0," 162,525 "," 2,050 "," 328,301 ", 1 ,786,1,0,0,"11,402",100%,0,0%,"143,381",100%,150,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,2103.1,No,Bawabat Al Sharq Phase 2,1329,BANI YAS,BANI YAS,0,NonCentre,Yes,2011,Completed,0,0,Completed,Completed,Completed,Committed,0," 107,741 ",  ," 257,075 ", 1 ,0,0,0,1,0,100%,0,0%,"5,934",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1621.0,Yes,Bloom Gardens,1289,AL MUNTAZAH,AL MUNTAZAH,0,NonCentre,Yes,2018,Completed,0,0,Completed,Completed,Completed,Committed,0," 179,068 "," 2,320 "," 34,306 ", 1 ,0,0,457,1,0,100%,0,0%,"1,595",100%,0,0%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Al Bahia North,Yes,Al Bahia North,1279,AL BAHYAH,AL BAHYAH,0,NonCentre,No,NA,TBD,Future project - Pre-concept planning estimated #s,Yes,Not Approved / Lapsed,Future,Future,Future,EH, TBD ," 4,200 "," 125,755 ", 1 ,219,1,0,0,0,100%,0,0%,"7,850",100%,0,100%,0,100%,"39,000",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,17407.0,Yes,Wahat Yas,1279,AL BAHYAH,AL BAHYAH,0,NonCentre,Yes,2023,2040,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 850,000 "," 17,259 "," 225,546 ", 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1251.4,No,Marina Mall Extention Phase 2,1296,AL KASIR,AL KASIR,Palaces,Centre,Yes,2017,2019,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 456,455 ", -   ," 74,559 ", 1 ,0,0,0,1,0,0%,0,0%,"16,949",0%,0,0%,0,0%,0,0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1007.0,No,Saadiyat Island Master Plan,1347,AL SAADIYAT ISLAND,AL SAADIYAT ISLAND,Saadiyat Island,Centre,Yes,2017,NA,0,0,Partially Delivered,Planned,Pipeline,Committed,0," 15,400,000 "," 145,000 "," 42,241 ", 1 ,0,0,"2,440",1,"1,808",100%,0,0%,0,0%,0,0%,0,0%,0,0%,?,?,"20,496",100%,"81,984",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,5394.0,No,Commercial & Mosque,1333,AL BIHOUTH,AL BIHOUTH,0,NonCentre,Yes,2011,2020,0,0,Approved but Not Delivered,Planned,Pipeline,Committed,0," 7,249 ", NA ," 15,824 ", 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,0,100%,"21,000",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,5000.34,Yes,KIZAD Area B,1281,KHALIFA INDUSTRIAL,KHALIFA INDUSTRIAL,Kizad,Centre,Yes,2023,2050,Group Quarters (Units),0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 60,804,264 "," 209,564 "," 219,902 ", 1 ,0,0,"1,659",1,0,100%,0,0%,"50,500",0%,0,100%,0,100%,0,100%,?,?,"18,136",100%,"72,543",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1007.46,Yes,Saadiyat Marina and Promenade,1347,AL SAADIYAT ISLAND,AL SAADIYAT ISLAND,Saadiyat Island,Centre,Yes,2022,NA,0,0,Not Approved / Lapsed,Future,Future,Future,Yes," 2,207,516 "," 30,802 "," 176,336 ", 1 ,0,0,71,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1413.0,Yes,Abu Dhabi Golf Club Dev,26,KHALIFA CITY,KHALIFA CITY,0,NonCentre,Yes,2023,2025,DMP vs Overall,0,Partially Delivered,Committed,Pipeline,Committed,0," 88,255 ", 966 ," 3,412,247 ", 1 ,0,0,"1,351",1,"1,001",100%,0,0%,0,0%,0,0%,0,0%,0,0%,?,?,"11,348",100%,"45,394",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1032.0,Yes,Manazel Medical City,48,MOHAMED BIN ZAYED CITY,MOHAMED BIN ZAYED CITY,0,NonCentre,Yes,2016,NA,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 370,163 "," 3,602 "," 120,400 ", 1 ,0,0,0,1,0,100%,0,0%,360,100%,"3,300",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,5436.0,Yes,First Gulf Bank office building,1289,AL MUNTAZAH,AL MUNTAZAH,0,NonCentre,Yes,2013,Completed,0,0,Completed,Completed,Completed,Committed,0," 40,360 ", -   ," 145,183 ", 1 ,0,0,363,1,"2,580",100%,0,0%,"19,365",100%,0,0%,0,0%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,17158.3,Yes,Qasr Al Jurf - Phase 2B,1306,GHADEER AL TAYR,GHADEER AL TAYR,0,NonCentre,Yes,2023,2028,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 120,235 ", 850 ," 247,379 ", 1 ,0,0,"4,063",1,851,100%,0,0%,"54,717",100%,"7,000",100%,0,100%,0,100%,?,?,"41,036",100%,"164,146",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1118.0,Yes,World Trade Centre,1301,AL DANAH,AL DANAH,Downtown,Centre,Yes,2009,Completed,0,0,Completed,Completed,Completed,Committed,0," 442,830 "," 1,535 "," 239,170 ", 1 ,0,0,73,1,0,100%,0,0%,"2,448",100%,"2,850",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,36322.0,No,"Low Income Housing - Akwan, Al Hisn",1293,AL HISN,AL HISN,0,NonCentre,Yes,2023,2026,Not Approved Yet,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 200,726 "," 11,875 "," 71,050 ", 1 ,0,0,0,1,967,0%,0,0%,"33,710",0%,"166,211",0%,0,0%,"63,808",0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,17932.0,Yes,Corniche Redevelopment - Project Aqua,1300,AL BATEEN,AL BATEEN,Palaces,Centre,Yes,2018,Completed,0,0,Completed,Completed,Completed,Committed,0," 1,999 ", -   ," 958,840 ", 1 ,0,0,68,1,"15,428",60%,0,0%,"314,572",55%,"382,576",45%,0,100%,"124,500",100%,?,?,0,60%,0,60%,0,60%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1005.0,Yes,Etihad Towers,1300,AL BATEEN,AL BATEEN,0,NonCentre,Yes,2009,Completed,0,0,Completed,Completed,Completed,Committed,0," 235,947 "," 3,898 "," 104,440 ", 1 ,0,0,306,1,0,100%,0,0%,500,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1740.0,Yes,Al Markaz-Waha Land,1333,AL BIHOUTH,AL BIHOUTH,0,NonCentre,Yes,2021,NA,0,0,Partially Delivered,Planned,Pipeline,Committed,0," 621,792 ", -   ," 214,269 ", 1 ,0,0,55,1,0,100%,0,0%,760,100%,0,100%,0,100%,0,100%,?,?,93,100%,372,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,25258.0,Yes,Capital Garden,1289,AL MUNTAZAH,AL MUNTAZAH,0,NonCentre,Yes,2022,2023,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 34,337 "," 3,201 "," 65,685 ", 1 ,0,0,0,1,"3,767",100%,0,0%,"16,888",100%,"64,302",100%,0,100%,"70,000",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Samha New Housing - Ph 3,Yes,Samha New Housing - Ph 3,1281,KHALIFA INDUSTRIAL,KHALIFA INDUSTRIAL,0,NonCentre,No,NA,NA,National Housing,Yes,Not Approved / Lapsed,Future,Future,Future,EH,,, -   , 1 ,"4,832",1,0,0,0,100%,0,0%,"16,567",100%,0,100%,0,50%,0,100%,?,?,"1,600",100%,"6,400",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Al Hanyourah,Yes,Al Hanyourah,1314,AL HANYOURAH,AL HANYOURAH,0,NonCentre,No,NA,NA,0,0,Not Approved / Lapsed,Future,Future,Future,Yes,,," 151,507 ", 1 ,0,0,0,1,"19,700",100%,0,0%,"140,014",100%,"235,602",45%,0,100%,"141,296",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1073.0,Yes,Golf Gardens II,26,KHALIFA CITY,KHALIFA CITY,0,NonCentre,Yes,2009,Completed,0,0,Completed,Completed,Completed,Committed,0," 236,656 ", NA ," 632,485 ", 1 ,0,0,0,1,287,100%,0,0%,"5,977",100%,"7,101",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,33436.0,Yes,Yas Gate,1279,AL BAHYAH,AL BAHYAH,0,NonCentre,Yes,2023,2026,0,0,Approved but Not Delivered,Planned,Pipeline,Committed,0," 113,356 "," 1,050 "," 756,325 ", 0 ,0,0,"2,547",1,"2,026",100%,0,0%,"24,950",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,2103.0,No,Bawabat Al Sharq - Phase 1,1329,BANI YAS,BANI YAS,0,NonCentre,Yes,,NA,0,0,Completed,Completed,Completed,Committed,0,,," 189,287 ", 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
