Municipality,ProjectID,Include in Summary,Project Name,DistrictID,District,Regional_Subregional Centre_District,District Centre,Centre or Non Centre,Approved,Approval Year,Approved Completion Year,Notes,EH,Phasing_Note,Planning Status,Delivery Status,Status,Major,Total GFA,Residential Population,Residential (GFA),Residential % Committed,Residential - Villas Emiratis (Units),Residential - Villas Emiratis % Committed,Residential - Villas Non-Emiratis (Units),Residential - Villas Non-Emiratis % Committed,Residential - Apartments (Units),Residential - Apartments % Committed,Residential - Labour Accommodation (Units),Residential - Labour Accommodation % Committed,Retail (GFA),Retail % Committed,Office (GFA),Office % Committed,Industrial (GFA),Industrial % Committed,Hotel (GFA),Hotel % Committed,Community Facilities (GFA),Community Facilities % Committed,Healthcare (GFA),Healthcare % Committed,Education (GFA),Education % Committed,Other (GFA),Other % Committed,Demolish Existing Buildings or Not (Yes/No),2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Abu Dhabi,1251.3,Yes,"Kasser Al Amwaj
",1296,AL KASIR,AL KASIR,Palaces,Centre,Yes,2016,Completed,0,0,Completed,Completed,Completed,Committed,0," 122,974 "," 1,199 ", -   , 1 ,0,0,849,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.0,No,Yas Island Framework,1330,YAS ISLAND,YAS ISLAND,Yas Island,Centre,Yes,2022,NA,Summation of All Approved Sub Master Plans,0,Partially Delivered,Planned,Pipeline,Committed,0," 10,568,260 "," 161,354 ", -   , 1 ,0,0,0,1,295,100%,0,0%,0,100%,101,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,5666.0,Yes,Al Ain University technology,48,MOHAMED BIN ZAYED CITY,MOHAMED BIN ZAYED CITY,0,NonCentre,Yes,2013,Completed,0,0,Completed,Completed,Completed,Committed,0," 43,939 ", NA , -   , 1 ,0,0,0,0,"2,713",100%,0,0%,"7,629",100%,"151,377",70%,0,100%,"82,522",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1042.0,Yes,Danet Abu Dhabi,1298,AL SA'ADAH,AL SA'ADAH,Zayed Sports City,Centre,Yes,2022,2025,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 976,342 "," 19,560 "," 690,720 ", 1 ,0,0,699,1,0,100%,0,0%,"9,316",100%,0,100%,0,0%,0,100%,?,?,"7,185",100%,"28,738",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1119.0,Yes,Nareel Island,1300,AL BATEEN,AL BATEEN,Palaces,Centre,Yes,2020,2020,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 225,107 "," 1,199 ", -   , 1 ,0,0,356,1,0,100%,0,0%,"3,152",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1239.0,Yes,MBZ-17/1 City Villa Compound,48,MOHAMED BIN ZAYED CITY,MOHAMED BIN ZAYED CITY,0,NonCentre,Yes,2009,Completed,0,0,Completed,Completed,Completed,Committed,0," 55,000 ", NA , -   , 1 ,0,0,0,1,"2,255",100%,0,0%,575,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1001.8,No,Masdar Amended CMP,26,KHALIFA CITY,KHALIFA CITY,Airport,Centre,Yes,2022,NA,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 3,706,800 "," 64,062 ", -   , 1 ,0,0,0,1,0,100%,0,0%,"1,550",100%,"29,450",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.6.12.1,Yes,Yas Living - Noya 1,1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2020,2025,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 84,220 "," 2,417 ", -   , 1 ,0,0,0,1,"5,418",25%,0,0%,"46,454",24%,"676,408",0%,0,0%,"62,502",50%,?,?,0,25%,0,25%,0,25%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1114.0,Yes,Al Raha Beach (East),1345,AL RAHAH,AL RAHAH,0,NonCentre,Yes,2014,NA,Updates to MP at Indiv. Plot level changes are not recorded in the approval #s,0,Partially Delivered,Committed,Pipeline,Committed,0," 3,281,936 "," 62,084 ", -   , 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,21703.0,Yes,Baniyas North MP,64,AL SHAWAMEKH,AL SHAWAMEKH,Al Shawamekh,Centre,Yes,2022,2023,National Housing,Yes,Approved but Not Delivered,Committed,Pipeline,Committed,0," 3,679,147 "," 32,568 ", -   , 1 ,0,1,0,0,0,100%,0,0%,"306,000",100%,"47,477",100%,"6,587,534",45%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1443.0,Yes,Nurai,1339,NOURAI ISLAND,NOURAI ISLAND,0,NonCentre,Yes,2018,Completed,0,0,Completed,Completed,Completed,Committed,0," 59,312 ",  ," 1,186,834 ", -   ,0,0,672,1,"1,460",100%,0,0%,"3,810",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.5,Yes,Royal Group Phase 1 Villas,1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2010,Completed,Emirati Housing MP,Yes,Completed,Completed,Completed,Committed,0," 257,415 "," 2,733 ", -   , 1 ,0,1,0,0,748,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1999.0,No,H1-Workers Resid. Cities. Hameem,1333,AL BIHOUTH,AL BIHOUTH,0,NonCentre,Yes,2009,Completed,0,0,Completed,Completed,Completed,Committed,0, TBC , -   ," 943,650 ", 1 ,0,0,0,1,242,0%,0,0%,0,0%,0,0%,0,0%,0,0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1251.0,No,Marina Village,1296,AL KASIR,AL KASIR,Palaces,Centre,,,NA,Summation of All Approved Sub Master Plans,0,Partially Delivered,Planned,Pipeline,Committed,0," 24,535,393 "," 196,758 ", TBD , 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Mafraq,yes,Mafraq,,,,,,,,0,0,Yes,future,future,future,future,BH,,," 133,369 ", 1 ,0,1,0,0,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1035.0,Yes,Al Reef Villas,25,AL REEF,AL REEF,0,NonCentre,Yes,2008,Completed,0,0,Completed,Completed,Completed,Committed,0," 880,763 "," 15,933 ", -   , -   ,0,0,0,1,0,100%,0,0%,"20,216",100%,717,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,15090.1,Yes,Jubail Island ,1349,AL JUBAIL ISLAND,AL JUBAIL ISLAND,0,NonCentre,Yes,2023,2025,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 968,241 "," 9,681 "," 75,120 ", 1 ,0,0,0,1,65,100%,0,0%,0,100%,0,100%,0,100%,"137,454",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.1.1,Yes,"Zone E, Yas Mall",1330,YAS ISLAND,YAS ISLAND,Yas Island,Centre,Yes,2010,Completed,0,0,Completed,Completed,Completed,Committed,0," 389,916 ", -   , -   , 1 ,0,0,100,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1039.0,Yes,Royal Towers (Al Hashemi Residential and Hotel Apartments),1303,AL ZAHIYAH,AL ZAHIYAH,0,NonCentre,Yes,2016,NA,0,0,Not Approved / Lapsed,Future,Future,Future,No," 33,500 ",, -   , 1 ,0,0,0,1,"3,831",100%,0,0%,"37,721",100%,"269,983",0%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Al Falah East,Yes,Al Falah East,32,ZAYED MILITARY CITY,ZAYED MILITARY CITY,0,NonCentre,No,NA,NA,Future project - Pre-concept planning estimated #s,Yes,Not Approved / Lapsed,Future,Future,Future,EH, TBD ," 3,500 ", -   , 1 ,20,1,0,0,492,100%,0,0%,526,100%,228,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,24640.0,Yes,Blue Marine,1300,AL BATEEN,AL BATEEN,0,NonCentre,Yes,2021,2023,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 52,592 ", 483 ," 425,000 ", 1 ,0,0,"1,273",1,"1,000",100%,0,0%,"19,000",100%,0,0%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,25983.0,Yes,West Baniyas National Housing,1329,BANI YAS,BANI YAS,0,NonCentre,Yes,2022,2026,National Housing,Yes,Approved but Not Delivered,Committed,Pipeline,Committed,0," 1,634,279 "," 12,608 ", TBD , 1 ,240,1,0,0,0,0%,0,0%,"20,000",0%,0,0%,"750,000",0%,"30,000",0%,?,?,0,0%,"50,000",0%,"900,000",0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1007.37,No,The Grove,1347,AL SAADIYAT ISLAND,AL SAADIYAT ISLAND,Saadiyat Island,Centre,Yes,2022,2027,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 549,792 "," 10,163 ", -   , 1 ,0,0,NA,1,NA,100%,0,0%,"160,279",100%,"1,751",100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Z9_MBZ,Yes,"Z9, MBZ",48,MOHAMED BIN ZAYED CITY,MOHAMED BIN ZAYED CITY,0,NonCentre,Yes,NA,NA,National Housing?,Yes,Approved but Not Delivered,Committed,Pipeline,Committed,0,,," 137,933 ", 1 ,0,0,0,0,"31,140",60%,0,0%,"250,000",100%,"100,000",100%,"600,000",100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,17860.0,Yes,Al Reeman 1 (Downtown Shamkha),1280,AL SHAMKHAH,AL SHAMKHAH,0,NonCentre,Yes,2023,2040,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 1,720,625 "," 37,149 ", -   , 1 ,0,0,0,1,"5,711",100%,0,0%,"303,948",100%,"464,376",0%,0,100%,"282,496",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1013.0,Yes,Eastern Mangroves Angsana Resort,1318,AL KHEERAN,AL KHEERAN,0,NonCentre,Yes,2009,Completed,0,0,Completed,Completed,Completed,Committed,0," 127,161 ", 901 ," 218,562 ", 1 ,0,0,0,1,739,100%,0,0%,"7,201",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,6053.2,No,Fahid Island Phase 1,4,FAHID ISLAND,FAHID ISLAND,0,NonCentre,Yes,2016,2025,0,0,Not Approved / Lapsed,Future,Future,Future,No," 301,170 "," 4,070 ", -   , 1 ,0,0,0,1,"1,392",100%,0,0%,"1,415",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1958.0,Yes,Marina Mixed Use Dev,1300,AL BATEEN,AL BATEEN,0,NonCentre,Yes,2012,Completed,0,0,Completed,Completed,Completed,Committed,0," 52,447 ", NA ," 69,485 ", 1 ,0,0,"1,837",1,"2,291",100%,0,0%,"331,015",50%,"171,417",0%,0,100%,0,100%,?,?,"31,134",100%,"124,536",100%,0,100%,,,,,,,,,,,,,,,,,,
